"CD_MUN","NM_MUN","SIGLA_UF","Symbol_WRB","WRB1","Soil_Group","Legenda","Rotulo","area","porc_mun"
3548500.0,Santos,SP,GLeu,Eutric GLEYSOLS,GLEYSOLS,Eutric GLEYSOLS,GL,119.298575145778,0.475700699717985
3548609.0,São Bento do Sapucaí,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,33.2622454768458,0.13169022831597
3548609.0,São Bento do Sapucaí,SP,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,219.317204814927,0.86830977168403
3548708.0,São Bernardo do Campo,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,56.1659549914242,0.137146589927449
3548708.0,São Bernardo do Campo,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,249.669363395439,0.609645145431422
3548708.0,São Bernardo do Campo,SP,Water,,,Water,Water,103.696956685642,0.253208264641129
3548807.0,São Caetano do Sul,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,15.3307268632117,1.0
3548906.0,São Carlos,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,6.25408890254283,0.00550096744829017
3548906.0,São Carlos,SP,ARdy,Dystric ARENOSOLS,ARENOSOLS,Dystric ARENOSOLS,AR,37.9383370700868,0.0333697778392556
3548906.0,São Carlos,SP,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,384.49464943851,0.338193553619459
3548906.0,São Carlos,SP,FRha,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,162.293973805698,0.142750427899388
3548906.0,São Carlos,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,545.926042368798,0.480185273193607
3549003.0,São Francisco,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,68.7495714065768,0.909636542123485
3549003.0,São Francisco,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,6.8295948020339,0.0903634578765148
3549102.0,São João da Boa Vista,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,93.3064792890652,0.180686791124296
3549102.0,São João da Boa Vista,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,202.107037944387,0.391377666674936
3549102.0,São João da Boa Vista,SP,FRha,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,38.8000976812821,0.0751358876549284
