atividade_cod;atividade_desc;cnae2_4cod;cnae2_cod;isic4_sec;isic4_cod; isic4_desc;cnae2_desc
1100;Fabricação de bebidas;1122;11;C;11;ELABORACIÓN DE BEBIDAS;FABRICAÇÃO DE BEBIDAS
1200;Fabricação de produtos do fumo;1210;12;C;12;ELABORACIÓN DE PRODUCTOS DE TABACO;FABRICAÇÃO DE PRODUTOS DO FUMO
1200;Fabricação de produtos do fumo;1220;12;C;12;ELABORACIÓN DE PRODUCTOS DE TABACO;FABRICAÇÃO DE PRODUTOS DO FUMO
1300;Fabricação de produtos têxteis;1311;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS
1300;Fabricação de produtos têxteis;1312;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS
1300;Fabricação de produtos têxteis;1313;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS
1300;Fabricação de produtos têxteis;1314;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS
1300;Fabricação de produtos têxteis;1321;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS
1300;Fabricação de produtos têxteis;1322;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS
1300;Fabricação de produtos têxteis;1323;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS
1300;Fabricação de produtos têxteis;1330;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS
1300;Fabricação de produtos têxteis;1340;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS
1300;Fabricação de produtos têxteis;1351;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS
1300;Fabricação de produtos têxteis;1352;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS
1300;Fabricação de produtos têxteis;1353;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS
1300;Fabricação de produtos têxteis;1354;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS
1300;Fabricação de produtos têxteis;1359;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS
1400;Confecção de artefatos do vestuário e acessórios;1411;14;C;14;FABRICACIÓN DE PRENDAS DE VESTIR;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
1400;Confecção de artefatos do vestuário e acessórios;1412;14;C;14;FABRICACIÓN DE PRENDAS DE VESTIR;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
1400;Confecção de artefatos do vestuário e acessórios;1413;14;C;14;FABRICACIÓN DE PRENDAS DE VESTIR;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
1400;Confecção de artefatos do vestuário e acessórios;1414;14;C;14;FABRICACIÓN DE PRENDAS DE VESTIR;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
1400;Confecção de artefatos do vestuário e acessórios;1421;14;C;14;FABRICACIÓN DE PRENDAS DE VESTIR;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
1400;Confecção de artefatos do vestuário e acessórios;1422;14;C;14;FABRICACIÓN DE PRENDAS DE VESTIR;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
1500;Fabricação de calçados e de artefatos de couro;1510;15;C;15;FABRICACIÓN DE PRODUCTOS DE CUERO Y PRODUCTOS CONEXOS;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
1500;Fabricação de calçados e de artefatos de couro;1510;15;C;16;"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES";PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
1500;Fabricação de calçados e de artefatos de couro;1510;15;C;22;FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
1500;Fabricação de calçados e de artefatos de couro;1521;15;C;15;FABRICACIÓN DE PRODUCTOS DE CUERO Y PRODUCTOS CONEXOS;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
1500;Fabricação de calçados e de artefatos de couro;1521;15;C;16;"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES";PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
1500;Fabricação de calçados e de artefatos de couro;1521;15;C;22;FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
1500;Fabricação de calçados e de artefatos de couro;1529;15;C;15;FABRICACIÓN DE PRODUCTOS DE CUERO Y PRODUCTOS CONEXOS;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
1500;Fabricação de calçados e de artefatos de couro;1529;15;C;16;"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES";PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
1500;Fabricação de calçados e de artefatos de couro;1529;15;C;22;FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
1500;Fabricação de calçados e de artefatos de couro;1531;15;C;15;FABRICACIÓN DE PRODUCTOS DE CUERO Y PRODUCTOS CONEXOS;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
1500;Fabricação de calçados e de artefatos de couro;1531;15;C;16;"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES";PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
