setor,gas,GÁS NATURAL,CARVÃO VAPOR,CARVÃO METALÚRGICO,LENHA,PRODUTOS DA CANA,OUTRAS FONTES PRIMÁRIAS,ÓLEO DIESEL,ÓLEO COMBUSTÍVEL,GASOLINA,GLP,QUEROSENE,GÁS DE CIDADE E DE COQUERIA,COQUE DE CARVÃO MINERAL,CARVÃO VEGETAL,ÁLCOOL ETÍLICO ANIDRO E HIDRATADO,OUTRAS SECUNDÁRIAS DE PETRÓLEO,ALCATRÃO
COMERCIAL,CO Gg/1000 tep,0.0008957,0.0358714,0.0358714,0.0895714,0.0895714,0.0179571,0.0003587,0.0003587,0.0003587,0.0003587,0.0003587,0.0003587,0.0358714,0.1255714,0.0895714,0.0003587,0.0358714
PÚBLICO,CO Gg/1000 tep,0.0008957,,,0.0895714,-,0.0179571,0.0003587,0.0003587,,0.0003587,0.0003587,0.0003587,,0.0358714,,,
AGROPECUÁRIO,CO Gg/1000 tep,0.0008957,0.0358714,0.0358714,0.1752857,0.1752857,0.0179571,0.0003587,0.0003587,0.0003587,0.0003587,0.0003587,0.0003587,0.0358714,0.1255714,0.1752857,0.0003587,0.0358714
RODOVIÁRIO,CO Gg/1000 tep,-,-,-,-,-,0.0179571,0.0179571,-,0.1435714,-,-,-,-,-,0.1818900,-,-
FERROVIÁRIO,CO Gg/1000 tep,-,-,-,-,-,0.0179571,0.0179571,-,-,-,-,-,-,-,-,-,-
AÉREO,CO Gg/1000 tep,-,-,-,-,-,0.0179571,,-,0.0017957,-,0.0017957,-,-,-,-,-,-
HIDROVIÁRIO,CO Gg/1000 tep,-,-,-,-,-,0.0179571,0.0179571,0.0179571,,-,,-,-,-,-,-,-
CIMENTO,CO Gg/1000 tep,0.0005400,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
FERRO-GUSAE AÇ0,CO Gg/1000 tep,0.0005400,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
FERRO-LIGAS,CO Gg/1000 tep,0.0005400,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
MINERAÇÃO E PELOTIZ.,CO Gg/1000 tep,0.0005400,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
NÃO-FER. E OUT METAL.,CO Gg/1000 tep,0.0005400,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
QUÍMICA,CO Gg/1000 tep,0.0005400,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
ALIMENTOS EBEBIDAS,CO Gg/1000 tep,0.0008957,0.0358714,0.0358714,0.0021600,0.0021600,0.0179571,0.0003587,0.0003587,0.0003587,0.0003587,0.0003587,0.0003587,0.0358714,0.1255714,0.0021600,0.0003587,0.0358714
TEXTIL,CO Gg/1000 tep,0.0005400,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
PAPEL E CELULOSE,CO Gg/1000 tep,0.0005400,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
CERÂMICA,CO Gg/1000 tep,0.0005400,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
OUTROS,CO Gg/1000 tep,0.0005400,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
CONSUMO NÃO-IDENTIFICADO,CO Gg/1000 tep,0.0005400,0.0026914,0.0026914,0.0358714,0.0715714,0.0179571,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0001796,0.0026914,0.0715714,0.0715714,0.0001796,0.0026914
