atividade,descricao,CNAE 4 digitos,cnae_2.0,Secao_ISIC_Rev.4
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2521,25,C
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2522,25,C
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2531,25,C
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2532,25,C
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2539,25,C
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2541,25,C
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2542,25,C
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2543,25,C
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2550,25,C
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2591,25,C
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2592,25,C
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2593,25,C
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2599,25,C
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2610,26,C
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2621,26,C
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2622,26,C
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2631,26,C
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2632,26,C
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2640,26,C
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2651,26,C
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2652,26,C
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2660,26,C
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2670,26,C
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2680,26,C
2700,Fabricação de máquinas e equipamentos elétricos,2710,27,C
2700,Fabricação de máquinas e equipamentos elétricos,2721,27,C
2700,Fabricação de máquinas e equipamentos elétricos,2722,27,C
2700,Fabricação de máquinas e equipamentos elétricos,2731,27,C
2700,Fabricação de máquinas e equipamentos elétricos,2732,27,C
2700,Fabricação de máquinas e equipamentos elétricos,2733,27,C
2700,Fabricação de máquinas e equipamentos elétricos,2740,27,C
2700,Fabricação de máquinas e equipamentos elétricos,2751,27,C
2700,Fabricação de máquinas e equipamentos elétricos,2759,27,C
2700,Fabricação de máquinas e equipamentos elétricos,2790,27,C
2800,Fabricação de máquinas e equipamentos mecânicos,2811,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2812,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2813,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2814,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2815,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2821,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2822,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2823,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2824,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2825,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2829,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2831,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2832,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2833,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2840,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2851,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2852,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2853,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2854,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2861,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2862,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2863,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2864,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2865,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2866,28,C
2800,Fabricação de máquinas e equipamentos mecânicos,2869,28,C
2991,"Fabricação de automóveis, caminhões e ônibus, exceto peças",2910,291,C
2991,"Fabricação de automóveis, caminhões e ônibus, exceto peças",2920,292,C
2991,"Fabricação de automóveis, caminhões e ônibus, exceto peças",2930,293,C
2992,Fabricação de peças e acessórios para veículos automotores,2941,294,C
2992,Fabricação de peças e acessórios para veículos automotores,2942,294,C
2992,Fabricação de peças e acessórios para veículos automotores,2943,294,C
2992,Fabricação de peças e acessórios para veículos automotores,2944,294,C
2992,Fabricação de peças e acessórios para veículos automotores,2945,294,C
2992,Fabricação de peças e acessórios para veículos automotores,2949,294,C
2992,Fabricação de peças e acessórios para veículos automotores,2950,295,C
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3011,30,C
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3012,30,C
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3031,30,C
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3032,30,C
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3041,30,C
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3042,30,C
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3050,30,C
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3091,30,C
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3092,30,C
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3099,30,C
3180,Fabricação de móveis e de produtos de indústrias diversas,3101,31,C
3180,Fabricação de móveis e de produtos de indústrias diversas,3102,31,C
3180,Fabricação de móveis e de produtos de indústrias diversas,3103,31,C
3180,Fabricação de móveis e de produtos de indústrias diversas,3104,31,C
3180,Fabricação de móveis e de produtos de indústrias diversas,3211,32,C
3180,Fabricação de móveis e de produtos de indústrias diversas,3212,32,C
3180,Fabricação de móveis e de produtos de indústrias diversas,3220,32,C
3180,Fabricação de móveis e de produtos de indústrias diversas,3230,32,C
3180,Fabricação de móveis e de produtos de indústrias diversas,3240,32,C
3180,Fabricação de móveis e de produtos de indústrias diversas,3250,32,C
3180,Fabricação de móveis e de produtos de indústrias diversas,3291,32,C
3180,Fabricação de móveis e de produtos de indústrias diversas,3292,32,C
3180,Fabricação de móveis e de produtos de indústrias diversas,3299,32,C
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3311,33,C
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3312,33,C
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3313,33,C
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3314,33,C
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3315,33,C
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3316,33,C
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3317,33,C
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3319,33,C
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3321,33,C
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3329,33,C
3500,"Energia elétrica, gás natural e outras utilidades",3511,35,D
3500,"Energia elétrica, gás natural e outras utilidades",3512,35,D
3500,"Energia elétrica, gás natural e outras utilidades",3513,35,D
3500,"Energia elétrica, gás natural e outras utilidades",3514,35,D
3500,"Energia elétrica, gás natural e outras utilidades",3520,35,D
3500,"Energia elétrica, gás natural e outras utilidades",3530,35,D
3680,"Água, esgoto e gestão de resíduos",3600,36,E
3680,"Água, esgoto e gestão de resíduos",3701,37,E
3680,"Água, esgoto e gestão de resíduos",3702,37,E
3680,"Água, esgoto e gestão de resíduos",3811,38,E
3680,"Água, esgoto e gestão de resíduos",3812,38,E
3680,"Água, esgoto e gestão de resíduos",3821,38,E
3680,"Água, esgoto e gestão de resíduos",3822,38,E
3680,"Água, esgoto e gestão de resíduos",3831,38,E
3680,"Água, esgoto e gestão de resíduos",3832,38,E
3680,"Água, esgoto e gestão de resíduos",3839,38,E
